epoch,train_mse,val_mse
1,0.8081880983352661,0.42641052989959716
2,0.40085059138298035,0.3278618629932404
3,0.31711453680038454,0.2799660854816437
4,0.2551417166662216,0.2324040095090866
5,0.2186777476167679,0.21137419998645782
6,0.19182491305351257,0.19519105644226073
7,0.17573041351318358,0.18537347927093506
8,0.16725150750160217,0.17368336622714997
9,0.15660856496810913,0.16760776400566102
10,0.15550185808181763,0.16240406589508058
11,0.14711515430927277,0.15775412797927857
12,0.14413243532657624,0.1545497983932495
13,0.1406180783700943,0.15624573731422425
14,0.1373327970790863,0.14812820954322814
15,0.13524978905677795,0.14847062346935272
16,0.13266820243358612,0.14608910262584687
17,0.13148269266605378,0.14576865742206574
18,0.13013344700813292,0.1433095276117325
19,0.12888784675121306,0.14204144575595856
20,0.12792845831871033,0.14131543760299684
21,0.1267672421979904,0.1428832067012787
22,0.12676375228404999,0.13983443729877473
23,0.1253663077354431,0.14373570606708527
24,0.12498925484657288,0.14073439462184906
25,0.12433820902347564,0.1404940099000931
26,0.12381415560483933,0.1401229973077774
27,0.12325642706394195,0.13770431671142577
28,0.12306824819087982,0.13674737577438353
29,0.12248864132404327,0.1368044362783432
30,0.1219567104291916,0.13666137714385987
31,0.12195342593193054,0.13690032525062562
32,0.12108288644552231,0.13543778994083405
33,0.12105305471420288,0.13573688130378722
34,0.12047483197450638,0.1347639981031418
35,0.12031702336788178,0.13506585609912872
36,0.1197668754696846,0.13391488823890685
37,0.11980775085449219,0.1359747291326523
38,0.11988874075889587,0.13407758996486663
39,0.11897225062370301,0.13336635468006133
40,0.11889884702920914,0.13419587094783783
41,0.1187616699719429,0.1338917303085327
42,0.11836800308704376,0.13307984442710877
43,0.1180284318113327,0.13299986934661864
44,0.118076684653759,0.13260970759391785
45,0.11775998059034347,0.13193498072624207
46,0.11744879363298416,0.13282307488918305
47,0.11743839172363281,0.13192220103740693
48,0.11723479402542114,0.1360871856212616
49,0.11698148221492767,0.13242259793281555
50,0.11657149741888047,0.1313351415872574
51,0.11702228160381317,0.13248776111602784
52,0.11618487582445144,0.13260679113864898
53,0.11625081993818283,0.13119187047481537
54,0.11658897710561753,0.13295194728374482
55,0.11572494674444199,0.1308979752063751
56,0.11589745242357254,0.13123960957527162
57,0.11546172859191894,0.13275818531513214
58,0.11556327107906342,0.1303171412229538
59,0.11547008531570435,0.13080724146366118
60,0.11529083892345428,0.13008912494182587
61,0.11513723808526993,0.1308258093595505
62,0.11498306111335754,0.13047582535743713
63,0.11466814682722092,0.13027621569633485
64,0.11505379586935044,0.12940101609230042
65,0.114735751349926,0.1297670750617981
66,0.11428329715967178,0.1291700145483017
67,0.1143418907380104,0.12911173102855683
68,0.11414478929996491,0.12964687588214874
69,0.11401041860342026,0.12925528090000152
70,0.1141628440117836,0.12920644021034242
71,0.11388133909463882,0.128776584815979
72,0.11381771774530411,0.1288093196630478
73,0.11405163614749908,0.12874317224025728
74,0.11382652939319611,0.12863303780555724
75,0.11330480700969696,0.1297645852804184
76,0.11312328263759613,0.12914921171665192
77,0.11315429394960404,0.12808761942386626
78,0.11323984067440034,0.1279471363067627
79,0.11317559605360031,0.1281110510826111
80,0.11298293656349181,0.12834923465251924
81,0.11294022554636002,0.12783769021034241
82,0.11286670362949372,0.12794076104164123
83,0.11279524724245071,0.12777982730865478
84,0.112495956158638,0.12800310010910035
85,0.11262347805261612,0.12929645495414735
86,0.11227443663120269,0.12774126923084259
87,0.11237727508306504,0.12774638854265213
88,0.11214656897783279,0.12956753165721893
89,0.11223995743751526,0.1275828558921814
90,0.11236040872335434,0.1281142443180084
91,0.11224280754327774,0.12730737093687058
92,0.11191239277601242,0.1273666426897049
93,0.11157847643136978,0.1270504626750946
94,0.11184309711694718,0.1282145233631134
95,0.1119270950269699,0.12704026050567627
96,0.11165570488214492,0.1269407851934433
97,0.11152250531196595,0.12701335890293122
98,0.11147080625772476,0.12808272576332091
99,0.11153999158620834,0.1273973176717758
100,0.11172980351209641,0.12665704659223556
